Age,Department,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
46,Sales,Technical Degree,363,Female,75,Manager,16872,14977,3,Yes,12,3,1,28,7,7,7
28,Research & Development,Life Sciences,364,Male,79,Laboratory Technician,3485,14935,2,No,11,3,0,5,0,0,0
29,Sales,Medical,366,Male,78,Sales Executive,6644,3687,2,No,19,3,2,10,0,0,0
31,Research & Development,Medical,367,Male,64,Healthcare Representative,5582,14408,0,No,21,4,1,10,9,0,7
25,Research & Development,Life Sciences,369,Male,85,Healthcare Representative,4000,18384,1,No,12,3,2,6,6,3,1
45,Research & Development,Medical,372,Male,79,Healthcare Representative,13496,7501,0,Yes,14,3,0,21,20,7,4
36,Research & Development,Life Sciences,373,Male,47,Laboratory Technician,3210,20251,0,No,11,3,1,16,15,13,10
55,Research & Development,Medical,374,Male,81,Manager,19045,18938,0,Yes,14,3,0,37,36,10,4
47,Research & Development,Life Sciences,376,Male,88,Manager,11849,10268,1,Yes,12,3,1,10,10,7,9
28,Research & Development,Medical,377,Male,94,Research Scientist,2070,2613,1,No,23,4,1,5,5,2,0
37,Sales,Medical,378,Male,98,Sales Executive,6502,22825,4,No,14,3,1,7,5,4,0
21,Research & Development,Medical,379,Male,100,Research Scientist,3230,10531,1,No,17,3,0,3,3,2,1
37,Research & Development,Medical,380,Female,80,Research Director,13603,11677,2,Yes,18,3,2,15,5,2,0
35,Research & Development,Life Sciences,381,Female,71,Manager,11996,19100,7,No,18,3,1,10,7,7,6
38,Sales,Medical,382,Female,44,Sales Executive,5605,19191,1,Yes,24,4,1,8,8,0,7
26,Research & Development,Life Sciences,384,Female,84,Manufacturing Director,6397,26767,1,No,20,4,1,6,6,5,1
50,Research & Development,Life Sciences,385,Male,96,Research Director,19144,15815,3,No,14,3,2,28,10,4,1
53,Research & Development,Medical,386,Male,45,Research Director,17584,21016,3,Yes,16,3,3,21,5,3,1
42,Sales,Life Sciences,387,Male,99,Sales Executive,4907,24532,1,No,25,4,0,20,20,16,11
29,Sales,Life Sciences,388,Male,44,Sales Executive,4554,20260,1,No,18,3,0,10,10,7,0
55,Research & Development,Technical Degree,389,Male,37,Laboratory Technician,5415,15972,3,Yes,19,3,1,12,10,7,0
26,Research & Development,Medical,390,Male,60,Healthcare Representative,4741,22722,1,Yes,13,3,1,5,5,3,3
37,Research & Development,Life Sciences,391,Female,42,Research Scientist,2115,15881,1,No,12,3,0,17,17,12,5
44,Research & Development,Life Sciences,392,Male,43,Laboratory Technician,3161,19920,3,Yes,22,4,1,19,1,0,0
38,Research & Development,Life Sciences,393,Male,82,Healthcare Representative,5745,18899,9,No,14,3,1,10,2,2,1
26,Research & Development,Medical,394,Male,45,Laboratory Technician,2373,14180,2,Yes,13,3,1,5,3,2,0
28,Research & Development,Life Sciences,395,Female,66,Research Scientist,3310,4488,1,No,21,4,0,5,5,3,0
49,Research & Development,Life Sciences,396,Female,35,Research Director,18665,25594,9,Yes,11,3,0,22,3,2,1
36,Research & Development,Technical Degree,397,Male,30,Research Scientist,4485,26285,4,No,12,3,0,10,8,0,7
31,Sales,Marketing,399,Female,84,Sales Representative,2789,3909,1,No,11,3,1,2,2,2,2
26,Sales,Marketing,401,Male,48,Sales Executive,5828,8450,1,Yes,12,3,0,8,8,7,7
37,Research & Development,Medical,403,Male,53,Research Scientist,2326,11411,1,Yes,12,3,3,4,4,2,1
42,Sales,Marketing,404,Female,77,Sales Executive,13525,14864,5,No,14,3,1,23,20,4,4
18,Research & Development,Life Sciences,405,Male,54,Laboratory Technician,1420,25233,1,No,13,3,0,0,0,0,0
35,Sales,Marketing,406,Male,96,Sales Executive,8020,5100,0,No,15,3,2,12,11,9,6
36,Research & Development,Life Sciences,407,Male,81,Laboratory Technician,3688,7122,4,No,18,3,2,4,1,0,0
51,Research & Development,Medical,408,Male,84,Manufacturing Director,5482,16321,5,No,18,3,1,13,4,1,1
41,Sales,Life Sciences,410,Male,88,Manager,16015,15896,1,No,19,3,0,22,22,10,0
18,Sales,Medical,411,Female,69,Sales Representative,1200,9724,1,No,12,3,0,0,0,0,0
28,Research & Development,Medical,412,Male,68,Healthcare Representative,5661,4824,0,No,19,3,0,9,8,3,0
31,Sales,Technical Degree,416,Male,100,Sales Executive,6929,12241,4,No,11,3,1,10,8,7,7
39,Research & Development,Medical,417,Male,48,Healthcare Representative,9613,10942,0,No,17,3,3,19,18,10,3
36,Research & Development,Life Sciences,419,Female,47,Laboratory Technician,5674,6927,7,No,15,3,1,11,9,8,0
32,Sales,Life Sciences,420,Male,91,Sales Executive,5484,16985,1,No,14,3,1,13,13,8,4
38,Research & Development,Life Sciences,421,Female,81,Research Director,12061,26707,3,No,17,3,1,19,10,8,0
58,Research & Development,Life Sciences,422,Male,32,Healthcare Representative,5660,17056,2,Yes,13,3,1,12,5,3,1
31,Research & Development,Technical Degree,423,Male,86,Research Scientist,4821,10077,0,Yes,12,3,1,6,5,2,0
31,Human Resources,Human Resources,424,Male,62,Human Resources,6410,17822,3,No,12,3,0,9,2,2,1
45,Research & Development,Life Sciences,425,Male,97,Laboratory Technician,5210,20308,1,No,18,3,1,24,24,9,9
31,Research & Development,Life Sciences,426,Male,32,Research Scientist,2695,7747,0,Yes,18,3,1,3,2,2,2
33,Research & Development,Life Sciences,428,Female,74,Manager,11878,23364,6,No,11,3,2,12,10,6,8
39,Research & Development,Medical,429,Male,99,Manager,17068,5355,1,Yes,14,3,0,21,21,9,11
43,Research & Development,Life Sciences,430,Female,33,Laboratory Technician,2455,10675,0,No,19,3,0,9,8,7,1
49,Research & Development,Technical Degree,431,Female,90,Healthcare Representative,13964,17810,7,Yes,12,3,0,25,7,1,0
52,Research & Development,Medical,433,Male,85,Research Scientist,4941,17747,2,No,15,3,0,11,8,2,7
27,Research & Development,Life Sciences,434,Female,85,Research Scientist,2478,20938,1,Yes,12,3,0,4,4,3,1
32,Sales,Technical Degree,436,Female,65,Sales Executive,5228,24624,1,Yes,11,3,0,13,13,12,11
27,Sales,Life Sciences,437,Male,74,Sales Executive,4478,5242,1,Yes,11,3,0,5,5,4,0
31,Sales,Marketing,438,Male,73,Sales Executive,7547,7143,4,No,12,3,3,13,7,7,1
32,Research & Development,Medical,439,Female,74,Research Scientist,5055,10557,7,No,16,3,0,10,7,7,0
28,Research & Development,Medical,440,Male,84,Research Scientist,3464,24737,5,Yes,13,3,0,5,3,2,2
30,Research & Development,Medical,441,Female,64,Research Scientist,5775,11934,1,No,13,3,2,11,10,8,1
31,Research & Development,Life Sciences,442,Female,48,Manufacturing Director,8943,14034,1,No,24,4,1,10,10,9,8
39,Research & Development,Medical,444,Male,54,Manager,19272,21141,1,No,15,3,1,21,21,9,13
39,Sales,Medical,445,Female,41,Sales Executive,5238,17778,4,Yes,18,3,0,12,1,0,0
33,Sales,Marketing,446,Male,46,Sales Executive,4682,4317,3,No,14,3,0,9,7,7,0
47,Research & Development,Life Sciences,447,Male,42,Research Director,18300,16375,4,No,11,3,1,21,3,2,1
43,Research & Development,Life Sciences,448,Female,82,Laboratory Technician,5257,6227,1,No,11,3,1,9,9,7,0
27,Sales,Marketing,449,Male,73,Sales Executive,6349,22107,0,Yes,13,3,1,6,5,4,1
54,Research & Development,Life Sciences,450,Female,31,Research Scientist,4869,16885,3,No,12,3,0,20,4,3,0
43,Research & Development,Life Sciences,451,Female,43,Healthcare Representative,9985,9262,8,No,16,3,1,10,1,0,0
45,Research & Development,Other,452,Male,75,Research Scientist,3697,9278,9,No,14,3,2,12,10,9,9
40,Sales,Medical,453,Male,57,Sales Executive,7457,13273,2,Yes,22,4,3,6,4,3,0
29,Research & Development,Other,454,Male,77,Laboratory Technician,2119,4759,1,Yes,11,3,0,7,7,7,0
29,Research & Development,Other,455,Male,30,Laboratory Technician,3983,7621,0,No,17,3,0,4,3,2,2
30,Sales,Marketing,456,Female,30,Sales Executive,6118,5431,1,No,13,3,3,10,10,9,1
27,Sales,Marketing,458,Female,56,Sales Executive,6214,3415,1,No,18,3,1,8,8,7,0
37,Research & Development,Medical,460,Male,61,Manufacturing Director,6347,23177,7,No,16,3,2,8,6,2,0
38,Research & Development,Life Sciences,461,Male,92,Research Director,11510,15682,0,Yes,14,3,1,12,11,10,2
31,Research & Development,Medical,462,Female,39,Manufacturing Director,7143,25713,1,Yes,14,3,0,11,11,9,4
29,Sales,Marketing,463,Female,39,Sales Executive,8268,11866,1,Yes,14,3,2,7,7,7,1
35,Research & Development,Technical Degree,464,Male,62,Manufacturing Director,8095,18264,0,No,13,3,0,17,16,6,0
23,Research & Development,Life Sciences,465,Male,83,Research Scientist,2904,16092,1,No,12,3,2,4,4,2,0
41,Research & Development,Medical,466,Male,95,Manufacturing Director,6032,10110,6,Yes,15,3,0,8,5,4,1
47,Sales,Medical,467,Male,99,Sales Representative,2976,25751,3,No,19,3,0,5,0,0,0
42,Research & Development,Life Sciences,468,Female,44,Research Director,15992,15901,2,No,14,3,0,16,1,0,0
29,Sales,Life Sciences,469,Male,61,Sales Executive,4649,16928,1,No,14,3,1,4,4,3,0
42,Human Resources,Technical Degree,470,Male,52,Human Resources,2696,24017,0,Yes,11,3,1,4,3,2,1
32,Research & Development,Medical,471,Female,75,Laboratory Technician,2370,3956,1,No,13,3,1,8,8,0,0
48,Sales,Medical,473,Female,91,Manager,12504,23978,3,No,21,4,1,15,0,0,0
37,Research & Development,Medical,474,Male,51,Research Scientist,5974,17001,4,Yes,13,3,2,13,7,7,6
30,Sales,Technical Degree,475,Female,85,Sales Executive,4736,6069,7,Yes,12,3,1,4,2,2,2
26,Sales,Life Sciences,476,Male,57,Sales Executive,5296,20156,1,No,17,3,1,8,8,7,7
42,Research & Development,Other,477,Male,98,Healthcare Representative,6781,17078,3,No,23,4,0,14,1,0,0
21,Sales,Technical Degree,478,Female,99,Sales Representative,2174,9150,1,Yes,11,3,0,3,3,2,1
36,Sales,Medical,479,Female,45,Sales Executive,6653,15276,4,No,15,3,0,7,1,0,0
36,Sales,Medical,481,Male,48,Sales Executive,9699,7246,4,No,11,3,1,16,13,9,1
57,Research & Development,Medical,482,Male,88,Healthcare Representative,6755,2967,2,No,11,3,0,15,3,2,1
40,Research & Development,Life Sciences,483,Female,46,Laboratory Technician,2213,22495,3,Yes,13,3,1,10,7,7,1
21,Sales,Medical,484,Male,39,Sales Representative,2610,2851,1,No,24,4,0,3,3,2,2
33,Sales,Marketing,485,Female,34,Sales Representative,2851,9150,1,Yes,13,3,0,1,1,0,0
37,Research & Development,Medical,486,Female,98,Laboratory Technician,3452,17663,6,No,20,4,1,17,5,4,0
46,Research & Development,Medical,487,Female,30,Manufacturing Director,5258,16044,2,No,14,3,0,7,1,0,0
41,Sales,Marketing,488,Male,56,Sales Executive,9355,9558,1,No,18,3,0,8,8,7,7
50,Research & Development,Technical Degree,491,Male,100,Healthcare Representative,10496,2755,6,No,15,3,0,20,4,3,1
40,Sales,Marketing,492,Male,68,Sales Executive,6380,6110,2,Yes,12,3,2,8,6,4,1
31,Research & Development,Life Sciences,493,Male,42,Research Scientist,2657,7551,0,Yes,16,3,0,3,2,2,2
21,Sales,Life Sciences,494,Female,90,Sales Representative,2716,25422,1,No,15,3,0,1,1,0,0
29,Research & Development,Life Sciences,495,Male,54,Research Scientist,2201,18168,9,No,16,3,0,6,3,2,1
35,Research & Development,Life Sciences,496,Male,97,Healthcare Representative,6540,19394,9,No,19,3,0,10,1,1,0
27,Research & Development,Medical,497,Male,82,Laboratory Technician,3816,17881,1,No,11,3,1,5,5,2,0
28,Sales,Life Sciences,498,Male,92,Sales Executive,5253,20750,1,No,16,3,0,7,7,5,0
49,Research & Development,Other,499,Male,31,Healthcare Representative,10965,12066,8,No,24,4,0,26,5,2,0
51,Sales,Life Sciences,500,Female,87,Sales Executive,4936,14862,4,No,11,3,1,18,7,7,0
36,Research & Development,Life Sciences,501,Female,96,Research Scientist,2543,11868,4,No,13,3,1,6,2,2,2
34,Sales,Marketing,502,Male,67,Sales Executive,5304,4652,8,Yes,13,3,0,9,5,2,0
55,Research & Development,Life Sciences,505,Female,97,Manager,16659,23258,2,Yes,13,3,0,30,5,4,1
24,Sales,Marketing,507,Female,77,Sales Executive,4260,5915,1,Yes,12,3,1,5,5,2,0
30,Sales,Technical Degree,508,Male,72,Sales Representative,2476,17434,1,No,18,3,1,1,1,0,0
26,Research & Development,Technical Degree,510,Male,73,Research Scientist,3102,6582,0,No,22,4,0,7,6,4,0
22,Research & Development,Medical,511,Female,43,Research Scientist,2244,24440,1,No,13,3,1,2,2,1,1
36,Sales,Medical,513,Male,61,Sales Executive,7596,3809,1,No,13,3,2,10,10,9,9
30,Research & Development,Technical Degree,514,Male,40,Research Scientist,2285,3427,9,Yes,23,4,0,3,1,0,0
37,Research & Development,Life Sciences,515,Female,95,Laboratory Technician,3034,26914,1,No,12,3,1,18,18,7,12
40,Sales,Marketing,516,Female,46,Sales Executive,5715,22553,7,No,12,3,2,8,5,4,1
42,Research & Development,Life Sciences,517,Female,95,Laboratory Technician,2576,20490,3,No,16,3,1,8,5,2,1
37,Research & Development,Life Sciences,518,Male,49,Manufacturing Director,4197,21123,2,Yes,12,3,0,18,1,0,0
43,Research & Development,Life Sciences,520,Male,59,Research Director,14336,4345,1,No,11,3,1,25,25,10,3
40,Research & Development,Medical,521,Female,78,Laboratory Technician,3448,13436,6,No,22,4,1,20,1,0,0
54,Research & Development,Medical,522,Male,86,Research Director,19406,8509,4,No,11,3,1,24,4,2,1
34,Sales,Marketing,523,Female,72,Sales Executive,6538,12740,9,No,15,3,1,6,3,2,1
31,Research & Development,Medical,524,Female,31,Manufacturing Director,4306,4156,1,No,12,3,1,13,13,10,3
43,Research & Development,Medical,525,Male,61,Laboratory Technician,2258,15238,7,No,20,4,1,8,3,2,1
43,Research & Development,Other,526,Female,74,Healthcare Representative,4522,2227,4,Yes,14,3,0,8,5,2,0
25,Sales,Life Sciences,527,Female,99,Sales Executive,4487,12090,1,Yes,11,3,0,5,5,4,1
37,Research & Development,Medical,529,Female,72,Research Scientist,4449,23866,3,Yes,15,3,2,15,13,11,10
31,Research & Development,Life Sciences,530,Male,98,Laboratory Technician,2218,16193,1,No,12,3,1,4,4,2,3
39,Research & Development,Life Sciences,531,Male,52,Manager,19197,8213,1,Yes,14,3,1,21,21,8,1
56,Sales,Life Sciences,532,Female,86,Sales Executive,13212,18256,9,No,11,3,3,36,7,7,7
30,Sales,Technical Degree,533,Female,83,Sales Executive,6577,19558,0,No,11,3,0,6,5,4,4
41,Sales,Marketing,534,Male,49,Sales Executive,8392,19566,1,No,16,3,1,10,10,7,0
28,Research & Development,Medical,536,Male,79,Laboratory Technician,4558,13535,1,No,12,3,1,10,10,0,1
25,Research & Development,Medical,538,Male,91,Laboratory Technician,4031,9396,5,No,13,3,1,6,2,2,0
52,Research & Development,Medical,543,Male,39,Manufacturing Director,7969,19609,2,Yes,14,3,0,28,5,4,0
45,Research & Development,Life Sciences,544,Male,69,Research Scientist,2654,9655,3,No,21,4,2,8,2,2,0
52,Research & Development,Life Sciences,546,Female,30,Manager,16555,10310,2,No,13,3,0,31,5,2,1
42,Research & Development,Life Sciences,547,Female,92,Research Scientist,4556,12932,2,No,11,3,1,19,5,4,0
30,Research & Development,Life Sciences,548,Female,43,Manufacturing Director,6091,24793,2,No,20,4,0,11,5,4,0
60,Research & Development,Life Sciences,549,Female,41,Manager,19566,3854,5,No,11,3,0,33,29,8,11
46,Research & Development,Medical,550,Female,87,Manufacturing Director,4810,26314,2,No,14,3,1,19,10,7,0
42,Research & Development,Technical Degree,551,Female,88,Healthcare Representative,4523,4386,0,No,11,3,3,7,6,5,0
24,Sales,Technical Degree,554,Female,62,Sales Representative,3202,21972,1,Yes,16,3,0,6,5,3,1
34,Sales,Marketing,555,Female,33,Sales Representative,2351,12253,0,No,16,3,1,3,2,2,1
38,Research & Development,Life Sciences,556,Male,42,Laboratory Technician,1702,12106,1,Yes,23,4,1,1,1,0,0
40,Sales,Life Sciences,558,Female,79,Manager,18041,13022,0,No,14,3,0,21,20,15,1
26,Research & Development,Life Sciences,560,Female,90,Research Scientist,2886,3032,1,No,22,4,2,3,3,2,0
30,Research & Development,Life Sciences,562,Male,53,Laboratory Technician,2097,16734,4,No,15,3,1,9,5,3,1
29,Research & Development,Medical,564,Male,93,Research Director,11935,21526,1,No,18,3,0,10,10,2,0
29,Research & Development,Technical Degree,565,Female,71,Research Scientist,2546,18300,5,No,16,3,0,6,2,2,1
19,Human Resources,Technical Degree,566,Male,52,Human Resources,2564,18437,1,No,12,3,0,1,1,0,0
30,Sales,Other,567,Female,69,Sales Executive,8412,2890,0,No,11,3,0,10,9,8,7
57,Sales,Marketing,568,Male,56,Manager,14118,22102,3,No,12,3,1,32,1,0,0
50,Research & Development,Life Sciences,569,Male,88,Manager,17046,9314,0,No,15,3,1,28,27,10,15
30,Research & Development,Medical,571,Female,49,Laboratory Technician,2564,7181,0,No,14,3,0,12,11,7,6
60,Sales,Marketing,573,Female,80,Sales Executive,10266,2845,4,No,19,3,0,22,18,13,13
47,Research & Development,Medical,574,Female,65,Manufacturing Director,5070,7389,5,No,13,3,3,20,5,0,0
46,Research & Development,Life Sciences,575,Male,51,Research Director,17861,2288,6,No,13,3,0,26,3,2,0
35,Research & Development,Life Sciences,577,Male,46,Laboratory Technician,4230,19225,0,No,15,3,0,6,5,4,4
54,Research & Development,Life Sciences,578,Female,42,Laboratory Technician,3780,23428,7,No,11,3,0,19,1,0,0
34,Research & Development,Life Sciences,579,Male,62,Research Scientist,2768,8416,3,No,12,3,1,14,7,3,5
46,Sales,Marketing,580,Female,94,Sales Executive,9071,11563,2,Yes,19,3,1,15,3,2,1
31,Research & Development,Life Sciences,581,Male,33,Manufacturing Director,10648,14394,1,No,25,4,1,13,13,8,0
33,Research & Development,Medical,582,Male,56,Manager,13610,24619,7,Yes,12,3,0,15,7,6,7
33,Research & Development,Medical,584,Male,38,Laboratory Technician,3408,6705,7,No,13,3,3,8,4,3,1
30,Sales,Marketing,585,Male,57,Sales Representative,2983,18398,0,No,14,3,0,4,3,2,1
35,Research & Development,Life Sciences,586,Male,72,Healthcare Representative,7632,14295,4,Yes,12,3,0,10,8,7,0
31,Research & Development,Life Sciences,587,Male,66,Healthcare Representative,9824,22908,3,No,12,3,0,12,1,0,0
34,Human Resources,Human Resources,590,Female,43,Human Resources,9950,11533,9,Yes,15,3,3,11,3,2,0
42,Research & Development,Other,591,Male,97,Laboratory Technician,2093,9260,4,No,17,3,1,8,2,2,2
36,Sales,Medical,592,Male,32,Sales Executive,9980,15318,1,No,14,3,0,10,10,3,9
22,Research & Development,Technical Degree,593,Male,99,Laboratory Technician,3894,9129,5,No,16,3,0,4,2,2,1
48,Sales,Marketing,595,Female,37,Sales Executive,4051,19658,2,No,14,3,1,14,9,7,6
55,Sales,Life Sciences,597,Female,83,Manager,16835,9873,3,No,23,4,0,37,10,9,7
41,Sales,Life Sciences,599,Male,56,Sales Executive,6230,13430,7,No,14,3,0,16,14,3,1
35,Sales,Marketing,600,Male,85,Sales Executive,4717,18659,9,No,11,3,0,15,11,9,6
40,Research & Development,Life Sciences,601,Female,75,Manufacturing Director,13237,20364,7,No,15,3,0,22,20,6,5
39,Research & Development,Life Sciences,602,Female,48,Laboratory Technician,3755,17872,1,No,11,3,1,8,8,3,0
31,Sales,Life Sciences,604,Male,77,Sales Executive,6582,8346,4,Yes,13,3,0,10,6,5,0
42,Research & Development,Medical,605,Male,56,Manufacturing Director,7406,6950,1,Yes,21,4,1,10,10,9,5
45,Sales,Other,606,Male,61,Sales Executive,4805,16177,0,No,19,3,1,9,8,7,3
26,Human Resources,Life Sciences,608,Female,58,Human Resources,2741,22808,0,Yes,11,3,1,8,7,7,1
29,Research & Development,Technical Degree,611,Male,34,Manufacturing Director,4262,22645,4,No,12,3,2,8,3,2,1
33,Research & Development,Medical,612,Female,95,Research Director,16184,22578,4,No,19,3,1,10,6,1,0
31,Sales,Life Sciences,613,Male,44,Manager,11557,25291,9,No,21,4,1,10,5,4,0
18,Sales,Marketing,614,Male,69,Sales Representative,1878,8059,1,Yes,14,3,0,0,0,0,0
40,Sales,Other,615,Male,58,Sales Executive,10932,11373,3,No,15,3,1,20,1,0,0
41,Research & Development,Other,616,Female,62,Healthcare Representative,6811,2112,2,Yes,17,3,0,10,8,7,0
26,Sales,Medical,618,Male,45,Sales Executive,4306,4267,5,No,12,3,2,8,0,0,0
35,Sales,Medical,620,Female,80,Sales Executive,4859,6698,1,No,16,3,0,5,5,4,0
34,Sales,Life Sciences,621,Male,74,Sales Executive,5337,19921,1,No,12,3,0,10,10,7,5
26,Research & Development,Technical Degree,622,Male,66,Laboratory Technician,2340,23213,1,Yes,18,3,0,1,1,0,0
37,Research & Development,Technical Degree,623,Female,59,Manufacturing Director,7491,23848,4,No,17,3,0,12,6,5,1
46,Research & Development,Medical,624,Female,86,Healthcare Representative,10527,8984,5,No,11,3,0,28,2,2,1
41,Sales,Life Sciences,625,Female,91,Manager,16595,5626,7,No,16,3,1,22,18,16,11
37,Sales,Medical,626,Male,69,Sales Executive,8834,24666,1,No,13,3,1,9,9,5,7
52,Research & Development,Technical Degree,630,Male,78,Research Scientist,5577,22087,3,Yes,12,3,2,18,10,9,6
32,Sales,Other,631,Male,60,Sales Executive,4707,23914,8,No,12,3,0,6,4,2,1
24,Sales,Medical,632,Male,38,Sales Representative,2400,5530,0,No,13,3,2,3,2,2,2
38,Research & Development,Medical,634,Female,76,Healthcare Representative,9824,22174,3,No,19,3,1,18,1,0,0
37,Research & Development,Life Sciences,635,Female,65,Manufacturing Director,6447,15701,6,No,12,3,1,8,6,5,4
49,Research & Development,Life Sciences,638,Male,58,Research Director,19502,2125,1,Yes,17,3,1,31,31,9,0
24,Research & Development,Medical,639,Male,89,Research Scientist,2725,21630,1,Yes,11,3,2,6,6,5,1
26,Sales,Marketing,641,Male,66,Sales Executive,6272,7428,1,No,20,4,2,6,5,3,1
24,Research & Development,Other,643,Male,94,Laboratory Technician,2127,9100,1,No,21,4,1,1,1,0,0
50,Human Resources,Medical,644,Male,99,Manager,18200,7999,1,No,11,3,1,32,32,5,10
25,Sales,Medical,645,Male,40,Sales Representative,2096,26376,1,No,11,3,0,7,7,4,0
24,Research & Development,Life Sciences,647,Female,55,Laboratory Technician,2886,14168,1,Yes,16,3,1,6,6,3,1
30,Sales,Life Sciences,648,Male,74,Sales Representative,2033,14470,1,No,18,3,1,1,1,0,0
34,Research & Development,Life Sciences,649,Male,83,Research Scientist,3622,22794,1,Yes,13,3,1,6,6,5,1
31,Sales,Medical,650,Male,46,Sales Executive,4233,11512,2,No,17,3,0,9,3,1,1
35,Research & Development,Other,652,Male,54,Laboratory Technician,3681,14004,4,No,14,3,0,9,3,2,0
31,Sales,Medical,653,Male,66,Sales Executive,5460,6219,4,No,22,4,2,13,7,7,5
27,Research & Development,Medical,655,Female,66,Research Scientist,2187,5013,0,No,12,3,2,6,5,3,0
37,Sales,Marketing,656,Male,75,Sales Executive,9602,3010,4,Yes,11,3,1,17,3,0,1
20,Research & Development,Life Sciences,657,Female,83,Research Scientist,2836,11757,1,No,13,3,0,1,1,0,0
42,Research & Development,Life Sciences,659,Female,81,Healthcare Representative,4089,5718,1,No,13,3,2,10,10,2,2
43,Research & Development,Other,661,Male,50,Research Director,16627,2671,4,Yes,14,3,1,21,1,0,0
38,Research & Development,Life Sciences,662,Female,43,Research Scientist,2619,14561,3,No,17,3,0,8,0,0,0
43,Research & Development,Medical,663,Male,72,Laboratory Technician,5679,19627,3,Yes,13,3,1,10,8,7,4
48,Research & Development,Life Sciences,664,Female,40,Manager,15402,17997,7,No,11,3,1,21,3,2,0
44,Human Resources,Life Sciences,665,Female,50,Human Resources,5985,26894,4,No,11,3,0,10,2,2,0
34,Sales,Technical Degree,666,Female,31,Sales Representative,2579,2912,1,Yes,18,3,2,8,8,2,0
27,Sales,Marketing,667,Male,85,Sales Representative,3041,16346,0,No,11,3,1,5,4,3,0
21,Sales,Technical Degree,669,Male,49,Sales Representative,3447,24444,1,No,11,3,0,3,3,2,1
44,Research & Development,Other,671,Male,35,Manager,19513,9358,4,Yes,12,3,1,26,2,2,0
22,Research & Development,Medical,675,Male,69,Research Scientist,2773,12145,0,No,20,4,0,3,2,2,2
33,Sales,Marketing,677,Male,39,Sales Executive,7104,20431,0,No,12,3,0,6,5,0,1
32,Research & Development,Life Sciences,679,Female,92,Research Scientist,6322,18089,1,Yes,12,3,1,6,6,4,0
30,Research & Development,Medical,680,Female,71,Research Scientist,2083,22653,1,No,20,4,1,1,1,0,0
53,Sales,Medical,682,Female,34,Sales Executive,8381,7507,7,No,20,4,0,18,14,7,8
34,Research & Development,Life Sciences,683,Male,42,Research Scientist,2691,7660,1,No,12,3,1,10,10,9,8
45,Sales,Life Sciences,684,Female,100,Sales Executive,4286,5630,2,No,14,3,2,5,1,1,0
26,Research & Development,Life Sciences,686,Female,71,Laboratory Technician,2659,17759,1,Yes,13,3,1,3,3,2,0
37,Research & Development,Other,689,Male,36,Manufacturing Director,9434,9606,1,No,15,3,1,10,10,7,7
29,Sales,Medical,690,Female,62,Sales Executive,5561,3487,1,No,14,3,1,6,6,0,1
35,Research & Development,Life Sciences,691,Male,82,Research Scientist,6646,19368,1,No,13,3,0,17,17,11,11
33,Research & Development,Life Sciences,692,Male,30,Healthcare Representative,7725,5335,3,No,23,4,1,15,13,11,4
54,Human Resources,Medical,698,Male,88,Human Resources,10725,6729,2,No,15,3,1,16,9,7,7
36,Research & Development,Medical,699,Male,48,Manufacturing Director,8847,13934,2,Yes,11,3,1,13,3,2,0
27,Research & Development,Medical,700,Male,54,Research Scientist,2045,15174,0,No,13,3,0,5,4,2,1
20,Research & Development,Medical,701,Male,32,Research Scientist,1009,26999,1,Yes,11,3,0,1,1,0,1
33,Research & Development,Life Sciences,702,Male,70,Research Scientist,3348,3164,1,Yes,11,3,0,10,10,8,9
35,Research & Development,Life Sciences,704,Male,41,Laboratory Technician,1281,16900,1,No,18,3,2,1,1,0,0
23,Research & Development,Medical,705,Male,58,Research Scientist,2819,8544,2,No,16,3,1,5,3,2,0
25,Sales,Life Sciences,707,Male,57,Sales Executive,4851,15678,0,No,22,4,1,4,3,2,1
38,Sales,Marketing,709,Female,46,Sales Executive,4028,7791,0,No,20,4,0,8,7,7,0
29,Research & Development,Life Sciences,710,Male,76,Research Scientist,2720,18959,1,No,18,3,1,10,10,7,2
48,Sales,Marketing,712,Male,56,Sales Executive,8120,18597,3,No,12,3,0,12,2,2,2
27,Sales,Medical,714,Female,71,Sales Executive,4647,16673,1,Yes,20,4,2,6,6,5,0
37,Research & Development,Life Sciences,715,Male,80,Research Scientist,4680,15232,3,No,17,3,0,4,1,0,0
50,Research & Development,Medical,716,Male,74,Laboratory Technician,3221,3297,1,Yes,11,3,3,20,20,8,3
34,Research & Development,Medical,717,Female,46,Healthcare Representative,8621,17654,1,No,14,3,0,9,8,7,7
24,Sales,Life Sciences,720,Female,65,Sales Executive,4577,24785,9,No,14,3,0,4,2,2,2
39,Research & Development,Technical Degree,721,Female,80,Healthcare Representative,4553,20978,1,No,11,3,0,20,20,7,11
32,Sales,Marketing,722,Male,55,Sales Executive,5396,21703,1,No,12,3,0,10,10,7,0
50,Sales,Technical Degree,723,Male,50,Sales Executive,6796,23452,3,Yes,14,3,1,18,4,3,1
38,Research & Development,Life Sciences,724,Female,33,Healthcare Representative,7625,19383,0,No,13,3,0,10,9,7,1
